Country,first_date,count,continent
USA,12/31/07,1,North America
Hong Kong,5/28/08,2,Asia
China,6/1/08,3,Asia
Ireland,8/30/08,4,Europe
England,10/2/08,5,Europe
Sweden,10/9/08,6,Europe
Italy,10/23/08,7,Europe
Scotland,11/13/08,8,Europe
Germany,11/30/08,9,Europe
Czech Republic,12/2/08,10,Europe
Poland,12/4/08,11,Europe
Northern Ireland,12/12/08,12,Europe
Canada,8/22/09,13,North America
India,8/5/10,15,Asia
Peru,8/13/10,16,South America
Taiwan,12/1/11,17,Asia
Singapore,1/21/12,18,Asia
Thailand,2/9/12,19,Asia
Japan,7/7/12,20,Asia
Philippines,11/16/12,21,Asia
Malaysia,3/28/13,22,Asia
Myanmar,3/29/13,23,Asia
South Korea,1/31/14,24,Asia
Austria,7/27/14,25,Europe
Vietnam,1/15/16,26,Asia
Cambodia,2/2/16,27,Asia
Laos,2/27/16,28,Asia
Colombia,3/1/18,29,South America
Brazil,11/10/18,30,South America
Panama,12/30/18,31,North America
Guatemala,1/1/19,32,North America
Spain,6/6/19,33,Europe
France,6/9/19,34,Europe
Belgium,6/12/19,35,Europe
Netherlands,6/13/19,36,Europe
